公告id	甲方	乙方	项目名称	合同名称	合同金额上限	合同金额下限	联合体成员
15319815	宣城市住房和城乡建设委员会	龙元建设集团股份有限公司	宣城市阳德路道路建设工程PPP项目				
153281	连江可门港建设发展有限公司	中国葛洲坝集团股份有限公司	连江可门工业园区二期基础设施配套工程BT项目	连江县可门工业园区二期基础设施配套工程投资建设-移交(BT)合同	792000000	792000000	
15341099	内蒙古京泰发电有限责任公司	北京首航艾启威节能技术股份有限公司		内蒙古京泰发电有限责任公司内蒙古酸刺沟电厂二期2×660MW机组工程直接空冷系统采购合同	186968600	186968600	
1537248	希腊TITAN水泥集团之子公司ANTEACEMENTSH.A(Albania)	中材建设有限公司					
15372945		江苏维尔利环保科技股份有限公司			137800000	137800000	浙江顺泰工程建设有限公司、上海市政工程设计研究总院(集团)有限公司
1539048	土耳其PLATOMAD.INS.TUR.SAN.LTD.STI	中国建材装备有限公司		小时产量95吨水泥粉磨站总承包合同			
15395190	遵义市新区开发投资有限责任公司	深圳市铁汉生态环境股份有限公司	遵义市新蒲新城人民公园附属道路及中轴线市政景观工程一标段	遵义市新蒲新城人民公园附属道路及中轴线市政景观工程一标段建设工程施工合同	400000000	400000000	
15395191	姚安县水务局	深圳市铁汉生态环境股份有限公司	姚安县河库连通工程岔河引水项目社会资本采购		334686900	334686900	广东省南兴建筑工程有限公司
15444136		杭州初灵信息技术股份有限公司	中国移动2016年度小型化接入PTN设备集中采购(新建)				
15444630	联通系统集成有限公司河南省分公司	上海中信信息发展股份有限公司	许昌政务云建设项目软件和运维服务项目(XCGD-JT-201608号)	许昌智慧城市政务云建设项目软件和运维服务合同	43800000	43800000	
15446156		中国铁建股份有限公司	北京市新机场轨道线社会化引资PPP项目		14994000000	14994000000	北京市轨道交通建设管理有限公司、北京市轨道交通运营管理有限公司、北京城建集团有限责任公司、北京市政路桥股份有限公司、北京市政建设集团有限责任公司
15450865	许昌市南水北调配套工程建设管理局	东龙泉管道工程股份有限公司	河南省南水北调受水区许昌供水配套工程鄢陵供水工程管道采购标		41210096	41210096	
15451130	诏安县城乡规划建设局	兴源环境科技股份有限公司	诏安县城市供排水工程PPP项目	诏安县城市供排水工程PPP项目PPP协议	1118868000	1118868000	
15467482	郑州高新技术产业开发区管理委员会市政管理局	广州普邦园林股份有限公司	郑州高新区市政绿化PPP项目				梅州市市政建设集团公司
15478818	印度尼西亚PT.SUMBERSEGARAPRIMADAYA公司	中国化学工程股份有限公司		印度尼西亚芝拉扎1000MW电站工程总承包合同	6203000000	6203000000	
15479632	国家工业和信息化部	西安天和防务技术股份有限公司	国家2016年工业强基工程	公司已经与工信部签订了项目合同书	82710000	82710000	
15480323		易事特集团股份有限公司	龙泉光伏小康工程采购项目		293000000	293000000	
15481946	福州莆炎高速公路有限责任公司	新疆北新路桥集团股份有限公司	国高网莆炎高速公路永泰梧桐至尤溪中仙段公路(福州段)路基土建工程A1标段施工		445926210	445926210	
15482709	澳大利亚上市公司	中钢设备有限公司					
15486335	吉首市住房和城乡建设局	深圳市赛为智能股份有限公司	吉首市停车场建设和城区、小区综合改造及物业管理PPP项目	PPP项目合同	1950431800	1950431800	中冶天工集团有限公司
1548742	光芒公司	成都交大光芒实业有限公司	铁道部客运专线综合SCADA系统集成项目		326258750	326258750	成都交大许继电气有限责任公司
15488293	法国哈伯德国际育种公司	山东益生种畜禽股份有限公司		合同	71675687.50	71675687.50	
15489189	内蒙古自治区通辽市科尔沁区爱国卫生运动委员会办公室	启迪桑德环境资源股份有限公司	通辽市科尔沁区镇村生活垃圾综合整治项目		1055980020	1055980020	
15493786	郑州高新技术产业开发区管理委员会市政管理局	广州普邦园林股份有限公司	郑州高新区市政绿化PPP项目		3320000000	3320000000	梅州市市政建设集团公司
15506564	吉首市水利局	中工国际工程股份有限公司	吉首市小型农田水利、中小型水库建设PPP项目		886999999	886999999	重庆建工集团股份有限公司
15506842	吉林省延边朝鲜族自治州和龙市住房和城乡建设局	启迪桑德环境资源股份有限公司	和龙边境经济合作区2015-2018年地下综合管廊建设项目		350200400	350200400	中国二十冶集团有限公司
15506918	华勤通讯科技有限公司	南京中电熊猫平板显示科技有限公司			1000000000	1000000000	
15511432	建德市交通运输局	龙元建设集团股份有限公司	杭黄铁路建德东站连接线及站前广场PPP项目		281320000	281320000	
15519253	江苏中关村科技产业园控股集团有限公司	斯太尔动力(江苏)投资有限公司		技术许可协议	200000000	200000000	
15524018		深圳市民富沃能新能源汽车有限公司	许昌市政府采购中心组织的ZFCG-T2016077许昌市交通运输局、许昌市交运投资有限责任公司“新能源公交车”采购项目		86880000	86880000	
15527910	新野县环境卫生管理处	启迪桑德环境资源股份有限公司	湖南省永州市S354道县至湘源温泉公路PPP项目以及河南省南阳市新野县城区环卫市场化服务项目特许经营权招标项目		426999999	426999999	湖南金沙路桥建设有限公司
15531648	广州得惠通投资控股有限公司	北京乾景园林股份有限公司	永修县马口生态园林式公墓建设项目	建设工程施工合同	700000000	700000000	
15534884	国家电网公司	南京新联电子股份有限公司	国家电网公司2016年第三次电能表及用电信息采集设备招标活动		141166000	141166000	
15535031	内蒙古中环光伏材料有限公司	信息产业电子第十一设计研究院科技工程股份有限公司	可再生能源太阳能电池用单晶硅材料和超薄高效太阳能电池用硅单晶切片产业化工程四期项目	建设项目工程总承包合同	1053999999	1053999999	
15539672	埃塞俄比亚阿比加塔-沙拉纯碱公司	中成进出口股份有限公司		埃塞俄比亚沙拉湖重质纯碱项目EPC合同			
15540066	中国核能电力股份有限公司	北京京投兴业置业有限公司		昆玉嘉园项目落地区整售框架协议书	1296000000	1296000000	
15540066	中核财务有限责任公司	北京京投兴业置业有限公司		昆玉嘉园项目落地区整售框架协议书	1296000000	1296000000	
15540267	湛江中粤能源有限公司	浙江开尔新材料股份有限公司	湛江中粤能源有限公司2×600MW机组超低排放改造工程烟气换热器改造EP项目设备采购项目		54600000	54600000	
15544492	北京爱奇艺科技有限公司	慈文传媒股份有限公司		网台联播剧合作协议	100900900	100900900	
15548973	神州数码信息服务股份有限公司	神州数码系统集成服务有限公司	中国科学技术大学国家量子保密通信“京沪干线”技术验证及应用示范项目安全管理和量子密钥分发备份系统建设招标		99388717	99388717	
15557329	鲁南高速铁路有限公司	山东省路桥集团有限公司	临曲高铁LQTJ-1、LQTJ-2和LQTJ-3标段工程项目		2411150179	2411150179	
15557517	北汽银翔汽车有限公司	广州大凌实业股份有限公司		2017年采购合作框架协议			
15561909	山东省青州市城市环境卫生管理局	湖北合加环境设备有限公司	青州市生活垃圾综合处理改建焚烧发电PPP项目	青州市生活垃圾综合处理改建焚烧发电PPP项目特许经营协议			
15567814		安徽水利开发股份有限公司	桐城市G206小关至桐城段公路改(扩)建工程PPP项目				
15571068	庆云县住房和城乡建设局	北京东方园林环境股份有限公司	庆云县城乡基础设施建设PPP项目		171580000	171580000	
15571413		云南南天电子信息产业股份有限公司	广西金融广场数据中心主机系统设备及集成服务采购项目		112864800	112864800	
15572336	上海华力集成电路制造有限公司	十一科技签署上海华力集成电路制造有限公司	上海华力集成电路制造有限公司12英寸先进生产线项目勘察设计施工一体化工程	上海华力集成电路制造有限公司12英寸先进生产线建设项目勘察设计施工一体化合同	5712281000	5712281000	
15575204	泉港石化工业园区管理委员会	福建纳川管材科技股份有限公司	泉港区北部城区防洪排涝及相关配套基础设施PPP项目		687687734	687687734	福建纳川基础设施建设有限公司、福建路港(集团)有限公司
15575739	海洋石油工程股份有限公司	苏州纽威阀门股份有限公司		工矿产品买卖合同	2464000	2464000	
15582763	哈萨克斯坦GasProcessingCompany有限公司	华油惠博普科技股份有限公司	哈萨克斯坦卡让萨天然气处理厂EP项目		270000000	270000000	
15583128	简阳市公共资源交易中心	成都天翔环境股份有限公司	石盘(四海)食品医药产业园工业供水厂及污水处理厂PPP项目		248340000	248340000	
15583696	国家电网公司	河南平高通用电气有限公司	国家电网公司输变电项目2016年第六次变电设备(含电缆)招标采购”活动		92146200	92146200	
15587446	广州公共资源交易中心	广东水电二局股份有限公司	珠三角城际轨道交通广佛环线广州南站至白云机场段施工总价承包招标(GFHD-2标)		6317412890	6317412890	中国铁建股份有限公司、中铁十四局集团有限公司、中铁十六局集团有限公司、中铁十九局集团有限公司、中铁二十二局集团有限公司、中铁二十五局集团有限公司、中国铁建电气化局集团有限公司
15600050	南京南瑞集团公司	上海置信电气股份有限公司		国网浙江省电力公司设备租赁项目设备及综合服务采购合同	1044999999	1044999999	
15600812		华夏幸福基业股份有限公司	南京市江宁区湖熟街道新市镇开发PPP项目				
1560706	内蒙古包钢稀土(集团)高科技股份有限公司	西安宝德自动化股份有限公司		建设项目工程总承包合同	96334390	96334390	
15624432	镇江市交通投资建设发展有限公司	青岛东方铁塔股份有限公司		李家山旧城改造项目委托代建合作协议			宏达京建投资发展有限公司
15627015	涡阳县人民政府	涡阳县鸿纬翔宇新型建材科技有限公司	涡阳县招拍挂地块GY2016-53号和GY2016-98号国有建设用地使用权	人才公寓回购协议	464500000	464500000	
15638026	云南省玉溪市住房和城乡建设局	北京东方园林环境股份有限公司	玉溪大河下游黑臭水体治理及海绵工程项目		3367780000	3367780000	
15643806		中天科技海缆有限公司	德国海底电缆总包工程项目				
15648643	沈阳铁路局电气化改造工程建设指挥部	北京富华宇祺信息技术有限公司	京通铁路朝阳地至通辽段、四平至齐齐哈尔铁路郑家屯至榆树屯站、通辽至让湖铁路电气化改造工程,叶柏寿至赤峰铁路扩能改造工程基站招标采购		33990000	33990000	
15652289	北京久安建设投资集团有限公司	郑州高新供水有限责任公司	兴义市智慧水务综合管理平台系统建设工程项目		102000000	102000000	
15658921	重庆远成世豪物流有限公司	安徽水利开发股份有限公司	远成·中国(重庆)物流城项目”二期一标段总包施工		400000000	400000000	
15662611	杭州市地铁集团有限责任公司	宏润建设集团股份有限公司	杭州地铁6号线一期工程土建施工SG6-12标段		790775300	790775300	
15663618	上海港孚能源科技有限公司	传化物流集团有限公司		合资经营合同	10000000	10000000	
1566971	华润深圳湾发展有限公司	江河创建集团股份有限公司	华润深圳湾国际商业中心项目华润大厦及美术馆幕墙工程		282180993.82	282180993.82	
15670629		中国铁建股份有限公司	成都轨道交通10号线二期工程投融资项目		6249000000	6249000000	
15679518	桐城市住房和城乡建设局	新疆国统管道股份有限公司	桐城市同安路和盛唐路延伸段地下综合管廊PPP项目		767563300	767563300	中交隧道工程局有限公司
1568746	成都市兴蓉再生能源有限公司	江苏维尔利环保科技股份有限公司	成都市万兴环保发电厂项目垃圾渗沥液处理系统设备采购及服务项目		75233568	75233568	
15697457	贵州省安顺市西秀区人民政府	重庆华宇园林有限公司	政府与社会资本合作(PPP)西秀区生态修复综合治理(二期)项目		2000000000	2000000000	
15701534	省环境监测中心	北京尚洋东方环境科技有限公司	河南省省级地表水责任目标断面水质直管站运维项目		9520000	9520000	
15713105	宜昌南玻硅材料有限公司	浙江晶盛机电股份有限公司			144000000	144000000	
15723204	北京城建集团有限责任公司	山东雅百特科技有限公司	北京新机场旅客航站楼、综合换乘中心、停车楼及综合服务楼屋面工程三标段项目				
15732460	巴彦淖尔市临河区城市发展投资有限责任公司	花王生态工程股份有限公司	巴彦淖尔市临河区湿地恢复与保护工程EPC项目	建设工程施工合同			
15735008	贵阳泉丰环保节能有限公司	深圳市铁汉生态环境股份有限公司	乌当区松溪河环溪河水生态环境综合治理项目施工一标段		483555470.3	483555470.3	贵州建工集团第五建筑工程有限责任公司
15735354	青海宝矿工程咨询有限公司	金诚信矿业管理股份有限公司	四川鑫源矿业有限责任公司矿山生产系统承包项目	矿山采矿生产承包合同	320000000	320000000	
15736926	武汉地铁集团有限公司	广州新科佳都科技有限公司	武汉市轨道交通21号线(阳逻线)工程自动售检票系统总承包项目		80860081	80860081	
1574008	广州公共资源交易中心	安徽安凯汽车股份有限公司	535辆插电式混合动力公交车招标项目		908700	908700	
15741543		中国铁建股份有限公司	成都机场南线工程		3676000000	3676000000	
15752168	安顺市西秀区财政局	重庆华宇园林有限公司	政府与社会资本合作(PPP)西秀区生态修复综合治理(二期)项目		1583999000	1583999000	
15752322	徐州华鑫发电有限公司	中电环保股份有限公司		固废处理PPP项目协议			
15752322	徐州华润电力有限公司	中电环保股份有限公司		固废处理PPP项目协议			
15753405	中通客车控股股份有限公司	合肥国轩高科动力能源有限公司		2017年动力电池采购合同	1328537600	1328537600	
15757512	帕鲁特有限责任公司	中标通知书金诚信矿业管理股份有限公司	塔吉克斯坦帕鲁特金矿一期采矿生产及基建剩余工程		229999999	229999999	
15757880		南威软件股份有限公司	福建省应急通信工程PPP项目采购(二次)		162646000	162646000	
15769968	哈密市伊州区住房和城乡建设局	哈密市文科基础建设有限公司	哈密市伊州区西部片区新建核心区中心景观轴建设PPP项目	哈密市伊州区西部片区新建核心区中心景观轴建设PPP项目协议	150000000	150000000	
15770736	阿里巴巴(中国)有限公司	张北数据港信息科技有限公司	张北小二台一期数据中心项目	张北小二台一期数据中心项目合作协议	1275000000	1275000000	
15771495		中国铁建股份有限公司	新建北京至沈阳铁路客运专线京冀段“四电”系统集成、防灾安全监控、信息及相关工程JSJJSD-1标段		3392570000	3392570000	中国铁建电气化局集团有限公司、中铁二十一局集团有限公司
15775446	泰国SAVALINCO.,LTD公司	大禹节水集团股份有限公司		2017年销售合同	1600000000	1600000000	
15780349	中国移动通信集团公司	黑龙江电信国脉工程股份有限公司	中国移动2017-2018传输管线工程施工服务集中采购项目				
15783596		华夏幸福基业股份有限公司	嘉鱼县约定区域产业新城政府和社会资本合作项目				
15788869	贵州省六盘水市钟山区住房和城乡建设局	北京东方园林环境股份有限公司	钟山区汪家寨城市棚户区综合整治PPP项目		1488240000	1488240000	
15790771	山东水泊梁山影视基地股份有限公司	深圳文科园林股份有限公司	水浒影视文化体验园(一期)建设项目设计采购施工(EPC总承包)项目		730000000	730000000	
15798111	俄罗斯石油天然气工业集团下属的阿菲普卡有限责任公司	中国化学工程第七建设有限公司			8090000000	8090000000	
15804019	北京市燃气集团有限责任公司	杭州先锋电子技术股份有限公司	北京市燃气集团有限责任公司(2017年)基建技改工程物资采购项目		32450200	32450200	
15805175	东阳长生天影视制作有限公司	北京京西文化旅游股份有限公司		电影项目合作框架协议书	6000000	6000000	
15813379	喀什市公安局	立昂技术股份有限公司	喀什市乡村视频、卡口监控及一体化联合作战平台体系项目				
15816663	国家电网公司	中天科技海缆有限公司	国家电网公司2017年浙江舟山500kV联网输变电工程海底电缆招标采购				
15838868	贵州电网有限责任公司	宁波奥克斯高科技有限公司	贵州电网有限责任公司2017年第一批标准台架变物质(一次设备)框架招标活动		53830000	53830000	
15856054	西安隆基硅材料股份有限公司	北京北方华创真空技术有限公司		设备买卖合同	168080000	168080000	
15862384	宸美(厦门)光电有限公司	深圳市鑫三力自动化设备有限公司		设备买卖合同	161445000	161445000	
15874231	旭阳集团河北旭阳焦化有限公司	中钢设备有限公司					
15882237	浙江运达风电股份有限公司	浙江海得新能源有限公司	运达风电2MW风电变桨系统招标项目				
15883704	交通银行股份有限公司湖南省分行	湖南投资集团股份有限公司		长沙市商品房买卖合同			
15884533	江西鲁高建设项目管理有限公司	山东省路桥集团有限公司	萍乡市老城区海绵城市建设PPP项目(标段二:蚂蝗河综合整治及山下内涝区海绵城市建设PPP项目		356088700	356088700	
15884957	国网山东省电力公司	华明电力装备股份有限公司	魏沟村20兆瓦光伏扶贫电站项目	魏沟村20兆瓦光伏扶贫电站项目EPC总承包合同	126000000	126000000	信息产业电子第十一设计研究院科技工程股份有限公司山东分公司
15896622	中国南方电网有限责任公司	深圳市科陆电子科技股份有限公司	中国南方电网有限责任公司2016年电能表类第二批框架招标项目		125000000	125000000	
15908095	山东省淄博高新技术产业开发区规划建设土地局	北京东方园林环境股份有限公司	淄博高新区四宝山区域生态建设工程PPP项目		1709195200	1709195200	
15920992	北京建工程集团有限责任公司	山东雅百特科技有限公司	北京新机场旅客航站楼、综合换乘中心、停车楼及综合服务楼屋面工程三标段		213114983.56	213114983.56	
15927741		天津创业环保集团股份有限公司	合肥于湾污水处理厂PPP项目				
15928875		正平路桥建设股份有限公司	青海省加定(青甘界)至海晏(西海)公路工程政府和社会资本合作PPP项目JX-2标段		5749000000	5749000000	中国建筑股份有限公司、北京长城弘瑞投资管理有限公司
15981198	山港集团股份有限公司	华电重工股份有限公司		唐山港京唐港区煤炭储运堆场工程堆场设备系统总承包合同	595560000	595560000	
15990966	华亭煤业集团有限责任公司	林州重机集团股份有限公司	华亭煤业集团有限责任公司2017年物资采购(GYGS-3)1标段		47236348	47236348	
1603742	仙居县职业教育中心	腾达建设集团股份有限公司	仙居县职业教育中心工程(1∼3号学生宿舍、1号食堂、2号教学楼、图书行政综合楼)(施工总承包)				
16041874	国家电网公司	积成电子股份有限公司	国家电网公司2017年第一次电能表及用电信息采集设备招标活动		49743000	49743000	
16063393		南威软件股份有限公司	智慧丰泽(一期)PPP项目				
16079585	国家电网公司	河南许继仪表有限公司	国家电网公司2017年第一次电能表及用电信息采集设备招标活动		240000000	240000000	
1610537	高州市教育局	高新兴科技集团股份有限公司	高州市教育局2014年教育创强信息化装备采购项目		59500000	59500000	
16135062	中建三局集团有限公司	武汉农尚环境股份有限公司	咸阳双照水库景观及水利项目景观绿化分包工程	咸阳双照水库景观及水利项目景观绿化分包工程合同	100000000	100000000	
16148729	中国石油化工股份有限公司齐鲁分公司	山东三维石化工程股份有限公司	齐鲁分公司油品质量升级碳四资源综合利用技术改造项目工程设计一标段		35250000	35250000	
1618186	广西柳州分别与广西建工集团第二安装建设有限公司	深圳市科陆技术服务有限公司		青海玉树州无电地区电力建设独立光伏供电工程独立光伏电站PC总承包合同	188726560.65	188726560.65	
16188192	通联支付网络服务股份有限公司	深圳市新国都技术股份有限公司		通联支付网络服务股份有限公司2017年度POS机具采购框架合同			
16188981	国家电网公司	江苏亨通电力特种导线有限公司	国家电网公司2017年输电线路材料导地线第二次集中招标项目				
16212927	中国核工业华兴建设有限公司	福建省闽发铝业股份有限公司	漳州招商局经济技术开发区富山-滨海明珠项目铝模板工程		20430784.32	20430784.32	
16223050	黑龙江省高速公路管理局	龙建路桥股份有限公司	鹤大高速鹤岗至佳木斯段大修工程施工A1合同段		100032474	100032474	
16223603	泉州市南翼港区发展有限公司	福州合诚工程咨询管理有限公司	南安市海峡科技生态城A片区PPP项目				
16223849	黄山市园林管理局	大千生态景观股份有限公司	黄山市中心城区人行道及绿化提升(二期)PPP项目		52000100	52000100	
16239514	尼泊尔民航局	中工国际工程股份有限公司		尼泊尔博卡拉国际机场项目商务合同	1541017800	1541017800	
1624741		中航三鑫股份有限公司	长沙市国金中心项目深化设计、供应及安装幕墙及外装饰承包工程(地上裙楼)	承包合同协议书			
16250215	中国通信建设集团有限公司	深圳市优博讯科技股份有限公司	中国邮政速递物流股份有限公司2017年投揽智能终端设备集中采购项目				
16259227	NepalElectricityAuthority	三变科技股份有限公司	尼泊尔配变供货项目(包1)、尼泊尔配变供货项目(包2)、尼泊尔配变供货项目(包3)				
16259629	永州市经济建设投资发展集团有限责任公司	上海华凯展览展示工程有限公司		“两中心”规划馆布展工程EPC(设计、采购、施工)项目EPC工程总承包合同	74975527.32	74975527.32	上海华凯展览展示工程有限公司、上海华凯
16264001	河钢股份邯郸分公司	哈尔滨华春药化环保技术开发有限公司		邯钢工业废水处理项目东区冷轧废水处理站提标改造及水运营10年期管理项目合同书	70984900	70984900	
16264001		哈尔滨华春药化环保技术开发有限公司		邯钢工业废水处理项目东区冷轧废水处理站提标改造及水运营10年期管理项目合同书	70984900	70984900	
16266581		广东海格怡创科技有限公司	中国移动四川公司2017-2019年通信工程全业务及室分施工二级集中采购公开招标项目		7707150000	7707150000	
16268009	福建申远新材料有限公司	北京三联虹普新合纤技术服务股份有限公司		年产40万吨聚酰胺一体化项目-年产20万吨聚酰胺工程项目合同书	421000000	421000000	
16281574	马来西亚铁路衔接有限公司	中国交通建设股份有限公司		马来西亚东部沿海铁路工程设计施工总承包(一期)商务合同	72800000000	72800000000	
16285216		新疆国统管道股份有限公司	黑龙江省穆棱市奋斗水库及供水工程PPP项目		491540000	491540000	上海巴安水务股份有限公司、广东省水利水电建设有限公司
16289109	广东顺广轨道交通有限公司	宏润建设集团股份有限公司	广州市轨道交通7号线一期工程西延顺德段(07标)土建施工项目		300360300	300360300	
16290093	北京住总集团有限责任公司	北京嘉寓门窗幕墙股份有限公司	北京城市副中心行政办公区A4工程幕墙工程(二标段)项目	北京城市副中心行政办公区A4工程幕墙工程(二标段)专业分包合同	83522188.29	83522188.29	
16293387	丹阳市滨江新市镇建设发展有限公司	花王生态工程股份有限公司	丹北镇城镇化基础设施建设及生态环境提升项目		410000000	410000000	
16293678	三明莆炎高速公路有限责任公司	新疆北新路桥集团股份有限公司	确定莆炎高速公路明溪城关至枫溪段路基土建施工YA5标段		575304166	575304166	
16296958	尼泊尔电力局	三变科技股份有限公司			120146500	120146500	
16299560		上海同济环境工程科技有限公司	马尾君竹河综合治理和运营维护PPP项目				
16302832	亚科吉州奥巴贾纳5线日产	中国中材国际工程股份有限公司		Dangote水泥股份有限公司尼日利亚科吉州奥巴贾纳5线日产6000吨熟料水泥生产线总承包合同			
1630308	梅州嘉应新区管理委员会	棕榈园林股份有限公司	梅州城区马鞍山公园及半岛滨水公园设计施工总承包项目第一标段、第二标段“		206999999	206999999	
1630352	中国联合网络通信有限公司北京市分公司	北京光环新网科技股份有限公司		数据中心合作协议	316690000	316690000	
16305661	杭州萧山科技城投资开发有限公司	浙江东南网架股份有限公司			348335369	348335369	
1630582	武汉环境投资开发集团有限公司	武汉市城市排水发展有限公司	武汉市陈家冲生活垃圾卫生填埋场渗沥液处理站提标改造工程BOT项目				武汉天源环保股份有限公司、天源环保”)、中国城市建设研究院有限公司
16321825	广西景昇隆新材料科技有限公司	江苏省冶金设计院有限公司	广西景昇隆新材料科技有限公司50万吨级/年高端合金新材料项目	50万吨/年高端合金新材料项目设计合同	4380000000	4380000000	
16323930	成都华川公路建设集团有限公司	海波重型工程科技股份有限公司	河北省太行山高速邯郸段钢箱梁、工字钢梁、波形钢腹板制作安装专业分包GZ1、GZ2标		132474400	132474400	
16327156	中国太平洋保险(集团)股份有限公司	上海宝信软件股份有限公司		数据中心合作合同			
16333349	津联热电	天津泰达能源发展有限责任公司		《蒸汽购销合同	618000000	618000000	
16337290	三明莆炎高速公路有限责任公司	新疆北新路桥集团股份有限公司	莆炎高速公路明溪城关至枫溪段路基土建施工YA5标段				
16338522		中国免税品(集团)有限责任公司	首都机场国际区免税业务招标项目				
16343011	攸县住房和城乡规划建设局	广西博世科环保科技股份有限公司	株洲市攸县乡镇污水处理厂及配套管网工程PPP项目		310951900	310951900	
16350160		中国免税品(集团)有限责任公司	首都机场国际区免税业务招标项目第一标段		830000000	830000000	
16353574	阜阳市住房和城乡建设委员会	安徽国祯环保节能科技股份有限公司	阜阳市城区水系综合整治(含黑臭水体治理)PPP项目(标段二)		5136000000	5136000000	
16354049	日本JGCCORPORATION	厦门新长诚钢构工程有限公司		JGC和厦门NCC关于钢结构的采购合同			
16360794	新疆维吾尔自治区库车县住房和城乡建设局	启迪桑德环境资源股份有限公司	阿克苏地区静脉产业园(东区)——生活垃圾焚烧发电PPP项目		356017300	356017300	
16365046	丹阳市滨江新市镇建设发展有限公司	花王生态工程股份有限公司	丹北镇城镇化基础设施建设及生态环境提升项目	建设工程施工合同	700000000	700000000	
16371669	广州银行股份有限公司	聚龙股份有限公司	广州银行出纳机具入围供应商采购项目				
16380094	鹤岗市交通运输局	龙建路桥股份有限公司	鹤岗市2017年公路基础设施PPP社会资本方招标项目	PPP项目合同	416813600	416813600	
16380683	河南安阳市第二人民医院	神州长城股份有限公司	安阳市第二人民医院PPP项目		1334000000	1334000000	
16380841	阿克苏塔河矿业有限责任公司	林州重机集团股份有限公司	阿克苏塔河矿业有限责任公司库车县榆树岭煤矿120万吨/年改扩建及安全改造项目设备采购的2标段和3标段		45415000	45415000	
16381210	缙云县壶镇镇人民政府	龙元建设集团股份有限公司	缙云县壶镇镇下山脱贫安置小区PPP项目		282100000	282100000	
1639287	中国移动通信集团广东有限公司	广东宜通世纪科技股份有限公司	2015年驻地网工程施工及家宽初装一阶段服务公开招标项目				
1639778	中国南方电网有限责任公司	深圳浩宁达仪表股份有限公司	中国南方电网有限责任公司2015年电能表类框架招标项目				
1639807	陆丰宝丽华新能源电力有限公司	苏州天沃科技股份有限公司	广东陆丰甲湖湾电厂新建工程2X10000MW超超临界燃煤发电机组项目	广东陆丰甲湖湾电厂新建工程2X10000MW超超临界燃煤发电机组高压加热器设备合同	44480000	44480000	
1640817		海华电子企业(中国)有限公司	2015年中央广播电视节目无线数字化覆盖工程项目地面数字电视广播发射系统		61216000	61216000	
16420092	中建三局集团有限公司	武汉农尚环境股份有限公司	咸阳双照水库景观及水利项目景观绿化分包工程	咸阳市双照水库景观及水利项目景观绿化工程专业分包合同	138000000	138000000	
16439824		中国铁建股份有限公司	杭州湾地区环线并行线G92N(杭甬高速复线)宁波段一期工程PPP项目		18096000000	18096000000	浙江省交通投资集团有限公司、浙江交工集团股份有限公司、宁波交通工程建设集团有限公司
1646042	湘潭竹埠港重金属污染治理投资有限公司	永清环保股份有限公司	湘潭市竹埠港地区重金属污染综合治理工程重金属污染土壤修复示范工程项目	湘潭市竹埠港地区重金属污染综合治理工程重金属污染土壤修复示范工程项目总承包合同	9828839	9828839	
16503738	中江县交通运输局	北京碧水源科技股份有限公司	中江县住房和城乡规划建设局国道350线中江至仓山段公路改建工程及中江县三江六岸改造项目A段工程招商(社会资本)项目(第二次)		5536748400	5536748400	中交第三公路工程局有限公司、北京久安建设投资集团有限公司、中国市政工程华北设计研究总院有限公司、四川省林业勘察设计研究院
16508379	潮州市建筑安装总公司	广东四通集团股份有限公司	四通大厦	广东省建设工程施工合同	63766426	63766426	
16508440	北京首都国际机场	中国免税品(集团)有限责任公司		首都机场国际区免税业务项目合同书	830000000	830000000	
16514707	新疆能源集团托克逊洁净环保科技有限公司	洪阳冶化工程科技有限公司	新疆能源集团托克逊洁净能源多联产一期工程热解项目	新疆能源集团托克逊洁净能源多联产一期工程热解项目EPC总承包合同	2862000000	2862000000	
16521648		成都市路桥工程股份有限公司	邛崃市4.20芦山地震灾后恢复重建城乡建设用地增减挂钩项目打捆招商项目		1106000000	1106000000	
16526931	中国石油工程建设有限公司华东设计分公司	哈尔滨博奥环境技术有限公司			54540969	54540969	
16527052		北京首创股份有限公司	临澧县城区安全饮水工程PPP项目		1775450000	1775450000	
16527088	福建广电网络集团股份有限公司	无锡路通视信网络股份有限公司	福建广电网络集团股份有限公司2017年度光传输设备供应商招标项目				
16532727	中国石化国际事业有限公司	哈尔滨博奥环境技术有限公司			46980000	46980000	
16532922	青岛国际机场集团有限公司	深圳市维业装饰集团股份有限公司	推进青岛新机场航站楼精装修工程(标段四)	青岛新机场航站楼中标的相关工程施工合同	85195089.59	85195089.59	
16539505	中色非洲矿业有限公司	金诚信矿业建设赞比亚有限公司	谦比希铜矿主体矿、西体矿采矿工程				
165421	中国南方电网有限责任公司	常熟风范电力设备股份有限公司	2012年度半年框架招标线路材料类项目		310000000	310000000	
16565349	福建永荣科技有限公司	苏州科环环保科技有限公司	福建永荣科技有限公司年产60万吨己内酰胺项目一期工程(年产20万吨己内酰胺)污水处理场采购、施工、调试(PC)总承包工程项目		119000000	119000000	湖南新金诚建设工程有限公司
1657638	鄂尔多斯市高新技术产业投资有限责任公司	深圳市迪威视讯有限公司	云计算产业园区4号数据机房BT建设项目		336000000	336000000	
16578023	巨化集团有限公司	浙江巨化股份有限公司		日常生产经营合同书			
16602047	中国移动通信有限公司	三维通信股份有限公司	中国移动2017-2019年室内分布系统天线集中采购项目		491400000	491400000	
